seed,n,d,p,loss,solver,gamma,standardize,varsort_raw,varsort_fit,auroc_change_w,auroc_change_a,max_h,seconds
0,50,12,1,gaussian,lbfgs_smooth,0.0,True,0.8148148148148148,0.5,0.7303571428571428,0.6584507042253521,0.006094276813398025,0.5566140000009909
0,50,12,1,gaussian,lbfgs_smooth,0.05,True,0.8148148148148148,0.5,0.7232142857142857,0.6549295774647887,0.006230692991202602,0.2533317079942208
0,50,12,1,student_t,lbfgs_smooth,0.0,True,0.8148148148148148,0.5,0.7535714285714286,0.5880281690140845,0.006087362483150116,0.268855166999856
0,50,12,1,student_t,lbfgs_smooth,0.05,True,0.8148148148148148,0.5,0.7625,0.5845070422535211,0.006080614343455082,0.26194341700465884
0,50,12,1,gaussian,admm,0.0,True,0.8148148148148148,0.5,0.8339285714285715,0.795774647887324,0.00415575080450914,0.35449529199831886
0,50,12,1,gaussian,admm,0.05,True,0.8148148148148148,0.5,0.9196428571428571,0.6302816901408451,0.0040874967608353074,0.34976229200401576
0,50,12,1,student_t,admm,0.0,True,0.8148148148148148,0.5,0.9071428571428571,0.7816901408450704,0.003873797781599464,0.35421970800234703
0,50,12,1,student_t,admm,0.05,True,0.8148148148148148,0.5,0.9767857142857143,0.6197183098591549,0.002170145893385822,0.3256939999992028
1,50,12,1,gaussian,lbfgs_smooth,0.0,True,0.8,0.5,0.7392857142857143,0.6901408450704225,0.006744526237520532,0.27362949999951525
1,50,12,1,gaussian,lbfgs_smooth,0.05,True,0.8,0.5,0.7535714285714286,0.704225352112676,0.006846203867146627,0.27381808300560806
1,50,12,1,student_t,lbfgs_smooth,0.0,True,0.8,0.5,0.8571428571428571,0.7077464788732394,0.0059934318741738934,0.2871500420005759
1,50,12,1,student_t,lbfgs_smooth,0.05,True,0.8,0.5,0.8607142857142858,0.7147887323943662,0.006021284864353049,0.2524400829934166
1,50,12,1,gaussian,admm,0.0,True,0.8,0.5,0.7821428571428571,0.6795774647887324,0.0043365424407131314,0.3649858339995262
1,50,12,1,gaussian,admm,0.05,True,0.8,0.5,0.9196428571428571,0.6179577464788732,0.004048294971102706,0.3519534169972758
1,50,12,1,student_t,admm,0.0,True,0.8,0.5,0.9071428571428571,0.704225352112676,0.0037073527841293696,0.37102291700284695
1,50,12,1,student_t,admm,0.05,True,0.8,0.5,0.95,0.6654929577464789,0.0035614427345329602,0.38663958300458035
2,50,12,1,gaussian,lbfgs_smooth,0.0,True,0.7142857142857143,0.5,0.7071428571428572,0.3767605633802817,0.006241923086992784,0.2932985829975223
